Experiment	totalDistance	totalDuration	noEmptiedContainers	noOverflowedContainers	noDumpsWP	noDumpsSF	avgFillContainers	avgFillVehicles	noVehiclesUsed	avgExpFillContainers	noContTooLate	noContTooEarly	noContOnTime	experimentDuration	
0	5528.654104088429	384.0674958281174	15498	1055	199	418	0.4211165601041886	0.5887640035177101	253	0.4662618559857499	649	10543	3253	600	
1	5645.494715027668	392.5821476685112	16315	986	192	436	0.40354632497702797	0.5853849601561708	258	0.44716106744558726	346	11197	3785	590	
2	5617.377816987976	390.55463224364274	16163	997	189	433	0.405204138667673	0.5881853657835691	257	0.4496405576718394	327	10943	3893	567	
3	5657.839662630057	393.42986639755946	16340	989	187	442	0.4020931133150401	0.583123345246	261	0.44616462221327796	312	11170	3865	560	
4	5764.944585053061	400.69602789242623	16533	955	186	435	0.39242842825042284	0.5840636475853772	264	0.43648988032689956	80	11248	4250	533	
5	5556.62802667501	385.95103511166735	15459	1082	197	432	0.4268604147057418	0.5833765258675999	252	0.47340853136237504	693	10345	3333	573	
6	5566.852045467844	386.918747475634	15816	1001	198	429	0.4154688674651636	0.5838052261653587	254	0.46257277430341404	397	10427	3989	568	
7	5590.28163072413	388.5648864927197	15913	997	199	429	0.4102940758589782	0.5804215915140771	256	0.4575416411490802	358	10543	4018	562	
8	5683.911678277975	394.98966744075386	16101	992	192	442	0.4105500683758681	0.5810737702385994	260	0.4549830032232074	317	10727	4060	567	
9	5654.262727060034	392.95945958178004	16127	963	186	430	0.4008303856856197	0.5851243971272825	260	0.44641692376656533	84	10610	4471	536	
10	5419.023958707276	376.2540972471517	14854	1101	201	424	0.43988838663266616	0.5803538279704639	242	0.4916964838542132	797	9496	3456	583	
11	5453.123498607268	378.9207332404844	15325	1040	203	423	0.4280988843466759	0.5832553168532898	246	0.4774361851896563	465	9682	4138	579	
12	5519.472887764951	383.52485918433007	15535	1069	198	429	0.42345221101154906	0.5841427968190369	251	0.4706180514992768	393	9934	4135	573	
13	5548.507107233297	385.6210293711086	15693	1040	198	435	0.42264907651415634	0.5823950486036985	253	0.4704671600852008	335	10084	4232	564	
14	5692.04218370641	395.5155900248717	16087	997	194	439	0.41025053433823705	0.5819631300087639	255	0.4558365706218492	96	10320	4668	543	
15	5366.71883980745	372.34542265383	14368	1150	210	411	0.45115535482092434	0.5799070451886769	238	0.5019279564638228	814	8880	3526	577	
16	5456.274621471303	378.8224747647535	14976	1048	209	412	0.43324487853350974	0.5811087467597124	243	0.4853625799482109	483	9160	4286	575	
17	5486.86465487339	381.0554214360036	15180	1074	203	424	0.4342379534868148	0.5857286719478189	247	0.48297812795299855	450	9379	4270	570	
18	5474.136457213784	380.31937492536326	15280	1080	200	433	0.4317176026239638	0.5791550785387339	247	0.48075383239152397	385	9477	4336	567	
19	5649.310046673544	392.3595586671252	15720	1025	209	423	0.41935922947539356	0.5810814496748691	252	0.46748990136129914	105	9712	4874	544	
20	5015.067644768089	346.79784298453916	11867	1420	222	395	0.522411672135134	0.5588980738469371	211	0.5905207967350089	1258	4569	4619	629	
21	5107.510669448026	353.42404462986843	12454	1266	209	401	0.5012877862265478	0.5684562928871697	214	0.5640160590993994	796	4630	5765	635	
22	5092.123796658911	352.399641999483	12471	1312	207	400	0.5018905218557367	0.5722748955091636	213	0.5627568251083818	700	4653	5807	632	
23	5113.338120387649	353.90809691473214	12582	1294	203	404	0.496459343430933	0.5711896767200734	212	0.5587459741400264	623	4742	5924	625	
24	5207.481109444357	360.56846285184605	13060	1206	194	410	0.47985289250807944	0.5760845603517767	219	0.5397863889348753	159	4934	6756	586	
